"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"1.71","-2.51","-15.08","-8.13","52.44","94.37","0.75","11.12","-8.4","4.62","-146.33","-77.49","-120.04","-151.52","-151.78","-151.34","-151.08","-180.0","30.46","-180.0","56.75","-151.25","-152.13","-150.11","-150.64","-180.0"
"1.63","-2.51","-15.69","-8.04","52.88","56.31","0.84","11.12","-8.4","4.62","-146.33","-77.49","-120.04","-151.52","-151.78","-151.34","-151.08","-180.0","30.46","-180.0","56.75","-151.25","-152.13","-150.11","-150.64","-180.0"
"1.8","-2.51","-3.38","20.18","7.25","5.58","1.36","11.12","-8.13","4.62","-146.33","-77.49","-120.04","-151.52","-151.78","-151.34","-151.08","-180.0","29.32","-180.0","49.27","-151.25","-152.13","-150.11","-150.64","-180.0"
