"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"31.96","-28.26","-81.19","20.62","23.96","66.95","93.93","-8.66","-33.98","-56.92","130.86","-8.75","-93.67","-152.04","-151.78","-150.81","-151.08","-180.0","-30.99","-28.18","48.13","-151.25","-152.13","-150.73","-151.25","-180.0"
"3.12","22.64","24.22","-47.08","32.66","101.05","-0.13","49.54","-92.79","-117.76","42.77","-9.89","-6.02","-151.52","-151.78","-150.81","-151.08","-180.0","-144.57","-28.18","41.71","-151.25","-152.13","-150.73","-151.25","-180.0"
"3.21","4.79","15.69","-17.1","44.62","66.15","6.37","7.16","-40.48","-52.79","89.36","-8.75","-6.02","-152.04","-151.78","-150.81","-151.08","-180.0","-77.05","-28.18","41.71","-151.25","-152.13","-150.73","-151.25","-180.0"
"3.12","5.14","-1.8","5.93","5.67","2.59","-1.45","-1.1","-10.42","-8.57","42.24","-8.75","-2.42","-152.04","-151.78","-150.81","-151.08","-180.0","21.93","-28.18","42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
