"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"-0.04","0.75","0.4","-0.4","7.43","-0.48","14.64","1.36","-6.64","3.12","-6.46","-48.84","75.47","-150.99","-153.63","-150.9","-150.73","-180.0","11.03","15.69","-52.88","-150.73","-152.57","-151.08","-151.25","-180.0"
"-0.13","0.84","-62.02","-4.09","7.08","55.43","73.89","1.8","-25.63","-44.88","6.73","-45.05","75.47","59.99","149.31","-150.9","149.73","-180.0","4.09","15.69","-52.88","-150.73","-152.57","-151.08","-151.25","-180.0"
"-0.04","0.84","3.91","-3.82","8.4","19.3","88.22","-0.04","-25.19","-82.07","5.93","-45.05","75.47","59.99","149.63","-150.9","149.73","-180.0","5.05","15.69","-52.88","-150.73","-152.57","-151.08","-151.25","-180.0"
"-0.04","0.84","3.91","-3.82","8.4","19.3","81.71","-0.92","-25.36","-68.88","7.6","-45.05","75.47","59.99","149.63","-150.9","149.73","-180.0","5.05","15.69","-52.88","-150.73","-152.57","-151.08","-151.25","-180.0"
"-0.04","0.84","3.82","-3.82","8.4","19.3","85.93","-1.36","-25.36","-85.76","5.93","-45.05","75.47","59.99","149.63","-150.9","149.73","-180.0","5.49","15.69","-52.88","-150.73","-152.57","-151.08","-151.25","-180.0"
"-0.13","0.84","3.91","-3.82","8.4","19.38","12.88","1.63","-6.55","0.04","5.14","-45.05","75.47","59.99","-153.63","-150.9","-150.73","-180.0","5.05","15.69","-52.88","-150.73","-152.57","-151.08","-151.25","-180.0"
