"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"4.7","10.33","2.07","1.71","6.73","1.54","-3.21","3.65","-7.78","-6.9","-180.0","-82.95","-20.44","-151.52","-151.78","-151.34","-151.08","-180.0","7.25","-28.18","30.99","-151.25","-152.13","-150.73","-151.25","-180.0"
"4.7","10.42","-17.1","6.29","19.91","75.3","16.4","3.56","-10.86","-70.99","-180.0","-82.95","-20.44","-151.52","-151.78","-151.34","-151.08","-180.0","-1.71","-28.18","32.13","-151.25","-152.13","-150.73","-151.25","-180.0"
"4.7","10.33","-31.52","6.46","29.93","84.44","33.89","1.19","-10.77","-77.05","-180.0","-82.95","-20.44","-151.52","-151.78","-151.34","-151.08","-180.0","-20.79","-28.18","32.13","-151.25","-152.13","-150.73","-151.25","-180.0"
"4.7","10.33","-13.58","6.46","19.3","68.44","16.4","1.63","-10.77","-64.75","-180.0","-82.95","-20.44","-151.52","-151.78","-151.34","-151.08","-180.0","-24.04","-28.18","30.99","-151.25","-152.13","-150.73","-151.25","-180.0"
"4.79","10.42","-23.87","18.59","27.74","68.88","27.65","-7.78","-9.36","-67.91","-74.68","-82.95","-19.21","-151.52","-151.78","-151.34","-151.08","-180.0","-123.47","-28.18","25.71","-151.25","-152.13","-150.73","-151.25","-180.0"
"4.7","10.33","-24.13","18.59","27.82","69.23","26.95","-7.78","-8.92","-67.74","-74.68","-82.95","-19.21","-151.52","-151.78","-151.34","-151.08","-180.0","-123.47","-28.18","24.57","-151.25","-152.13","-150.73","-151.25","-180.0"
"4.7","16.92","-7.6","5.85","8.13","-11.65","4.35","-1.45","-7.25","2.59","-168.48","-82.95","-20.44","-151.52","-151.78","-151.34","-151.08","-180.0","-5.76","-28.18","25.71","-151.25","-152.13","-150.73","-151.25","-180.0"
