"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"-2.15","-2.24","-5.32","4.97","9.45","-5.32","-0.4","1.89","-9.01","-1.63","-180.0","-46.99","82.77","-151.52","-151.78","-151.34","-151.08","-180.0","1.98","20.26","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
"-2.15","-2.24","76.53","11.38","27.21","57.1","12.0","-4.79","-19.65","-97.27","-180.0","-46.99","82.77","-151.52","-151.78","-151.34","-151.08","-180.0","37.85","16.31","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
"-2.33","-1.8","0.48","-9.71","45.76","84.62","-46.02","-30.2","-51.74","-92.53","-180.0","-46.99","81.54","-151.52","-151.78","-151.34","-151.08","-180.0","-22.02","17.63","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
"-2.15","-1.8","68.0","5.85","45.14","85.93","30.9","-10.24","-29.41","-92.53","-180.0","-46.99","81.54","-151.52","-151.78","-151.34","-151.08","-180.0","-2.86","17.63","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
"-2.33","-1.8","-25.63","4.26","38.02","89.89","-61.41","-29.93","-49.36","-92.88","-180.0","-46.99","81.54","-151.52","-151.78","-151.34","-151.08","-180.0","-11.82","17.63","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
"-2.15","-1.8","62.11","4.44","46.29","89.8","39.08","-10.33","-38.11","-92.62","-180.0","-46.99","81.54","-151.52","-151.78","-151.34","-151.08","-180.0","-1.71","17.63","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
"-2.33","-1.8","-65.8","5.14","65.19","42.77","82.51","-26.33","-53.49","-37.76","-180.0","-45.85","87.52","-151.52","-151.78","-151.34","-151.08","-180.0","-6.11","17.63","-53.58","-151.25","-152.13","-150.73","-151.25","-180.0"
"-2.15","-0.31","-0.66","4.53","9.19","-2.86","-0.92","-4.88","-9.45","10.15","-180.0","-46.99","82.77","-151.52","-151.78","-151.34","-151.08","-180.0","9.36","17.63","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
