"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"3.91","7.08","-70.99","10.95","90.77","54.81","-2.33","0.22","-5.93","-18.51","11.74","-6.55","-48.04","-152.04","-151.78","-150.81","-151.08","-180.0","14.2","-28.18","-94.29","-151.25","-152.13","-150.73","-151.25","-180.0"
"3.82","7.34","-2.33","3.47","4.26","3.03","-1.36","5.32","-9.36","-7.34","1.71","-6.55","-30.02","-152.04","-151.78","-150.81","-151.08","-180.0","31.34","-28.18","-40.75","-151.25","-152.13","-150.73","-151.25","-180.0"
