"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"0.48","11.12","-0.04","2.77","7.87","2.95","0.66","2.42","-7.16","-0.84","-180.0","-57.89","64.75","-151.52","-151.78","-151.34","-151.08","-180.0","9.36","16.31","-63.25","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.48","11.12","1.27","-8.04","70.46","124.18","0.31","2.42","-7.16","-0.84","-180.0","-57.89","64.75","-151.52","-151.78","-151.34","-151.08","-180.0","-82.68","16.31","-63.25","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","11.12","-1.01","-3.3","8.48","2.42","80.84","-20.53","-84.79","-41.36","-154.15","-57.89","67.12","-151.52","-151.78","-151.34","-151.08","-180.0","-22.81","16.31","-63.25","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.48","11.3","-0.66","-2.95","8.22","2.51","0.75","-2.86","-7.16","-4.62","-180.0","-57.89","64.75","-151.52","-151.78","-151.34","-151.08","-180.0","-22.81","16.31","-63.25","-151.25","-152.13","-150.73","-151.25","-180.0"
