"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"4.18","4.53","-2.24","-0.66","3.47","0.04","89.54","2.68","-87.87","-70.81","76.35","-8.75","-56.48","-151.08","-151.78","-150.81","-151.08","-180.0","11.38","-28.18","30.99","-151.25","-152.13","-150.73","-151.25","-180.0"
"3.91","-5.85","-26.24","-13.14","31.16","49.71","27.47","20.44","-40.92","-35.65","180.0","-8.75","-50.42","-151.52","-151.78","-150.81","-151.08","-180.0","-106.33","-28.18","29.93","-151.25","-152.13","-150.73","-150.64","-180.0"
"3.91","-5.85","-14.2","5.58","47.08","49.8","17.1","3.82","-52.18","-35.65","180.0","-8.75","-50.42","-151.52","-151.78","-150.81","-151.08","-180.0","-124.62","-28.18","29.93","-151.25","-152.13","-150.73","-150.64","-180.0"
"3.91","-5.58","-0.84","6.11","3.91","5.32","-1.19","1.71","-7.16","-3.12","47.78","-8.75","-50.42","-151.08","-151.78","-150.81","-151.08","-180.0","1.98","-28.18","30.99","-151.25","-152.13","-150.73","-151.25","-180.0"
"3.91","-5.58","-0.75","6.37","3.91","5.32","-1.01","1.8","-7.16","-3.21","47.78","-8.75","-50.42","-151.08","-151.78","-150.81","-151.08","-180.0","1.98","-28.18","29.93","-151.25","-152.13","-150.73","-151.25","-180.0"
