"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"-0.84","10.77","-0.92","-5.58","7.87","2.95","1.27","6.55","-7.08","-0.84","-180.0","-57.89","64.75","-151.52","-151.78","-151.34","-151.08","-180.0","9.36","14.99","-64.31","-151.25","-152.13","-150.73","-151.25","-180.0"
"-22.64","13.76","-0.92","-5.76","7.87","2.95","1.19","6.55","-6.9","-0.84","-180.0","-57.89","64.75","-151.52","-151.78","-151.34","-151.08","-180.0","8.92","14.99","-64.31","-151.25","-152.13","-150.73","-151.25","-180.0"
"15.16","13.49","-0.84","-5.76","7.87","2.95","1.19","6.55","-6.81","-0.84","-180.0","-57.89","64.75","-151.52","-151.78","-151.34","-151.08","-180.0","8.92","14.99","-64.31","-151.25","-152.13","-150.73","-151.25","-180.0"
"-0.13","12.44","-0.84","-5.67","7.87","2.95","1.19","6.55","-6.99","-0.84","-180.0","-57.89","64.75","-151.52","-151.78","-151.34","-151.08","-180.0","8.92","14.99","-64.31","-151.25","-152.13","-150.73","-151.25","-180.0"
