"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"2.95","0.04","-1.98","-1.54","6.99","4.44","-1.19","-4.62","-7.78","-8.13","-179.56","-82.95","-20.44","-151.52","-151.78","-151.34","-151.08","-180.0","-6.11","-28.18","-15.08","-151.25","-152.13","-150.73","-151.25","-180.0"
"2.68","8.48","-1.98","-1.54","6.9","4.44","-1.19","-4.62","-7.78","-8.13","-179.56","-82.95","-20.44","-151.52","-151.78","-151.34","-151.08","-180.0","-6.11","-28.18","-15.08","-151.25","-152.13","-150.73","-151.25","-180.0"
"2.86","1.63","-1.98","-1.54","6.99","4.44","-1.19","-4.62","-7.78","-8.13","-179.56","-82.95","-20.44","-151.52","-151.78","-151.34","-151.08","-180.0","-6.11","-28.18","-15.08","-151.25","-152.13","-150.73","-151.25","-180.0"
