"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"0.04","9.71","6.29","-13.23","8.92","21.67","-6.46","-6.37","-8.92","-27.65","-6.0","129.8","-3.65","-151.52","-151.78","-151.34","-151.08","-180.0","7.69","26.77","100.7","-151.25","-152.13","-150.73","-151.25","-180.0"
"-92.53","-35.74","6.29","-13.23","8.92","21.67","-6.46","-6.37","-8.84","-27.56","-6.0","129.8","-4.88","-151.52","-151.78","-151.34","-151.08","-180.0","7.69","26.77","100.7","-151.25","-152.13","-150.73","-151.25","-180.0"
"-6.81","9.27","6.2","-13.23","8.75","21.67","-6.73","-6.37","-8.4","-27.56","-6.0","129.8","-4.88","-151.52","-151.78","-151.34","-151.08","-180.0","7.69","26.77","100.7","-151.25","-152.13","-150.73","-151.25","-180.0"
"-6.64","11.12","-86.2","27.3","47.43","109.49","85.58","-7.69","-90.68","-104.84","-6.0","18.51","146.33","-151.52","-151.78","-151.34","-151.08","-180.0","9.71","12.35","-89.01","-151.25","-152.13","-150.73","-151.25","-180.0"
"-6.64","11.12","-6.73","26.77","8.4","9.01","0.4","-7.69","-9.36","-11.91","-6.0","1.01","147.56","-151.52","-151.78","-151.34","-151.08","-180.0","80.57","17.63","-89.01","-151.25","-152.13","-150.73","-151.25","-180.0"
