"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"-1.8","-1.01","-2.95","-3.74","4.26","2.86","10.33","2.59","-5.41","-6.9","-6.81","-58.77","119.96","-150.99","-152.31","-150.9","-150.73","-180.0","0.4","150.73","-24.04","-150.73","-152.57","-151.08","-151.25","-180.0"
"-1.89","-1.01","-20.53","1.71","7.34","129.19","27.03","-2.68","-11.47","-130.15","-110.73","-58.77","180.0","-150.99","-152.31","-150.9","-150.73","-180.0","139.74","150.73","-168.04","-150.73","-152.57","-151.08","-151.25","-180.0"
"-1.8","-1.01","-20.26","1.71","7.34","128.92","27.03","-2.86","-11.47","-130.07","-111.6","-58.77","180.0","-150.99","-152.31","-150.9","-150.73","-180.0","140.62","150.73","-168.04","-150.73","-152.57","-151.08","-151.25","-180.0"
"-1.8","-1.01","-0.4","-5.23","6.02","2.95","13.32","1.89","-8.04","0.4","-10.59","-58.77","79.96","-150.99","-152.31","-150.9","-150.73","-180.0","4.09","151.87","-61.23","-150.73","-153.89","-151.08","-151.25","-180.0"
