"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"0.4"   ,"16.66" ,"-3.56"       ,"-1.63"       ,"10.59"  ,"-6.81"    ,"0.66"        ,"3.82"        ,"-10.24" ,"1.36"     ,"0.0"   ,"-57.89"   ,"62.37"    ,"-151.52"        ,"-151.78"  ,"-151.34"  ,"-151.08"          ,"-180.0"         ,"4.44"     ,"16.31"    ,"-63.25"   ,"-151.25"        ,"-152.13"  ,"-150.73"  ,"-151.25"          ,"-180.0"
"0.4"   ,"16.66" ,"-85.85"      ,"-2.68"       ,"90.42"  ,"100.09"   ,"91.56"       ,"-5.14"       ,"-78.46" ,"-95.43"   ,"0.0"   ,"-57.89"   ,"62.37"    ,"-151.52"        ,"-151.78"  ,"-151.34"  ,"-151.08"          ,"-180.0"         ,"60.62"    ,"11.12"    ,"-68.62"   ,"-151.25"        ,"-152.13"  ,"-150.73"  ,"-151.25"          ,"-180.0"
"0.48"  ,"16.92" ,"-2.42"       ,"1.36"        ,"9.98"   ,"-3.3"     ,"7.16"        ,"-2.59"       ,"-10.07" ,"14.37"    ,"0.0"   ,"-57.89"   ,"62.37"    ,"-151.52"        ,"-151.78"  ,"-151.34"  ,"-151.08"          ,"-180.0"         ,"28.44"    ,"11.12"    ,"-63.25"   ,"-151.25"        ,"-152.13"  ,"-150.73"  ,"-151.25"          ,"-180.0"
