"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"-1.8","-2.95","-1.89","-2.77","2.59","6.11","17.19","-0.13","-5.76","9.01","-6.81","-58.77","36.62","-150.99","-152.31","-150.9","-150.73","-180.0","-1.01","152.92","-10.86","-150.73","-152.57","-151.08","-151.25","-180.0"
"-1.8","-2.95","-117.05","-5.05","46.55","119.16","126.73","-4.18","-30.29","-117.32","41.8","-58.77","34.42","-150.99","-152.31","-150.9","-150.73","-180.0","-56.48","152.92","-10.86","-150.73","-152.57","-151.08","-151.25","-180.0"
"-1.8","-2.95","-1.63","-4.62","4.7","-2.15","16.22","-0.31","-6.81","8.22","-2.33","-58.77","36.62","-150.99","-152.31","-150.9","-150.73","-180.0","5.93","152.92","-10.86","-150.73","-152.57","-151.08","-151.25","-180.0"
