"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"2.59"  ,"7.34"  ,"-0.57"       ,"-1.8"        ,"6.73"   ,"4.53"     ,"2.15"        ,"1.01"        ,"-8.13"  ,"-1.63"    ,"-6.11"   ,"-28.95"   ,"-15.6"    ,"-151.52"        ,"-151.78"  ,"-151.34"  ,"-151.08"          ,"-180.0"         ,"-6.11"    ,"-28.18"   ,"-15.08"   ,"-151.25"        ,"-152.13"  ,"-150.73"  ,"-151.25"          ,"-180.0"
"2.51"  ,"7.34"  ,"-0.57"       ,"-1.8"        ,"6.64"   ,"4.53"     ,"82.07"       ,"-0.75"       ,"-48.04" ,"-93.23"   ,"-6.11"   ,"-28.0"    ,"-20.44"   ,"-151.52"        ,"-151.78"  ,"-151.34"  ,"-151.08"          ,"-180.0"         ,"-6.11"    ,"-28.18"   ,"-15.08"   ,"-151.25"        ,"-152.13"  ,"-150.73"  ,"-151.25"          ,"-180.0"
"2.59"  ,"7.34"  ,"-0.57"       ,"-1.8"        ,"6.73"   ,"4.53"     ,"2.68"        ,"-0.57"       ,"-11.91" ,"-8.57"    ,"-6.11"   ,"-28.95"   ,"-20.44"   ,"-151.52"        ,"-151.78"  ,"-151.34"  ,"-151.08"          ,"-180.0"         ,"-6.11"    ,"-28.18"   ,"-15.08"   ,"-151.25"        ,"-152.13"  ,"-150.73"  ,"-151.25"          ,"-180.0"
"2.24"  ,"23.87" ,"-0.57"       ,"-1.8"        ,"6.81"   ,"4.53"     ,"2.59"        ,"-0.48"       ,"-8.4"   ,"-8.57"    ,"-6.11"   ,"-28.95"   ,"-20.44"   ,"-151.52"        ,"-151.78"  ,"-151.34"  ,"-151.08"          ,"-180.0"         ,"-6.11"    ,"-28.18"   ,"-15.08"   ,"-151.25"        ,"-152.13"  ,"-150.73"  ,"-151.25"          ,"-180.0"
"2.42"  ,"10.15" ,"-0.57"       ,"-1.8"        ,"6.73"   ,"4.53"     ,"2.51"        ,"-0.57"       ,"-8.4"   ,"-8.57"    ,"-6.11"   ,"-28.89"   ,"-20.44"   ,"-151.52"        ,"-151.78"  ,"-151.34"  ,"-151.08"          ,"-180.0"         ,"-6.11"    ,"-28.18"   ,"-15.08"   ,"-151.25"        ,"-152.13"  ,"-150.73"  ,"-151.25"          ,"-180.0"
