"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"-1.8","-1.27","1.01","-1.01","1.36","6.2","11.21","0.31","-3.03","-9.98","-9.36","-58.77","97.71","-150.99","-152.31","-150.9","-150.73","-180.0","3.21","151.87","-25.27","-150.73","-152.57","-151.08","-151.25","-180.0"
"-1.8","-1.19","-20.7","2.95","41.8","118.9","32.57","9.89","-44.88","-117.49","-72.04","-58.77","95.52","-150.99","-152.31","-150.9","-150.73","-180.0","144.31","152.92","-21.67","-150.73","-152.57","-151.08","-151.25","-180.0"
"-1.8","-1.19","-1.1","-3.91","4.53","8.31","8.04","2.42","-7.08","-7.25","-4.79","-58.77","123.3","-150.99","-152.31","-150.9","-150.73","-180.0","-8.4","152.92","-24.04","-150.73","-152.57","-151.08","-151.25","-180.0"
