"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"0.13","9.54","2.86","0.4","6.81","12.53","-4.35","0.48","-7.52","-18.15","0.12","-82.95","-31.25","-151.52","-151.78","-151.34","-151.08","-180.0","15.87","-178.77","-53.58","-151.25","-152.13","-150.73","-151.25","-180.0"
"-86.81","-29.93","2.77","0.4","6.9","12.62","-4.26","0.48","-7.52","-18.15","0.12","-82.95","-31.25","-151.52","-151.78","-151.34","-151.08","-180.0","15.87","-178.77","-53.58","-151.25","-152.13","-150.73","-151.25","-180.0"
"-3.38","5.41","2.86","0.4","6.9","12.53","-4.26","0.48","-7.52","-18.15","0.12","-82.95","-31.25","-151.52","-151.78","-151.34","-151.08","-180.0","15.87","-178.77","-53.58","-151.25","-152.13","-150.73","-151.25","-180.0"
