"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"3.74","5.49","7.34","-8.48","39.43","7.16","-9.71","19.38","-80.4","-121.54","158.46","-6.55","-78.02","-152.04","-151.78","-150.81","-151.08","-180.0","-26.95","-28.18","102.81","-151.25","-152.13","-150.73","-151.25","-180.0"
"3.74","5.49","-66.77","-8.4","7.87","101.23","63.96","19.21","-16.48","-101.41","170.42","-6.55","-78.02","-152.04","-151.78","-150.81","-151.08","-180.0","-117.76","-28.18","108.18","-151.25","-152.13","-150.73","-151.25","-180.0"
"3.74","5.49","-5.49","6.37","27.12","15.69","-5.85","0.66","-32.13","-20.7","137.89","-6.55","-78.02","-152.04","-151.78","-150.81","-151.08","-180.0","-56.66","-28.18","101.76","-151.25","-152.13","-150.73","-151.25","-180.0"
"3.74","5.49","3.65","1.01","5.49","15.69","-1.1","-4.44","-9.45","-11.12","18.77","-6.55","-78.02","-152.04","-151.78","-150.81","-151.08","-180.0","29.67","-28.18","101.76","-151.25","-152.13","-150.73","-151.25","-180.0"
