"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"0.57","10.86","5.49","-1.45","9.63","10.86","1.8","0.92","-8.66","8.84","0.0","-55.69","67.12","-151.52","-151.78","-151.34","-151.08","-180.0","5.67","16.31","-62.2","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.48","10.86","2.51","-1.63","69.32","121.8","2.07","1.01","-8.57","8.75","0.0","-55.69","67.12","-151.52","-151.78","-151.34","-151.08","-180.0","-63.16","17.63","-62.2","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.48","10.86","-1.71","-1.71","8.66","2.86","2.15","1.01","-8.57","8.84","0.0","-55.69","67.12","-151.52","-151.78","-151.34","-151.08","-180.0","9.36","17.63","-63.25","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.48","10.86","-1.71","-1.63","7.87","2.86","66.15","-1.19","-106.68","-35.56","10.35","-55.69","67.12","-151.52","-151.78","-151.34","-151.08","-180.0","9.36","17.63","-63.25","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","10.86","-1.63","-1.63","7.87","2.86","3.03","-4.26","-7.43","-1.01","0.0","-55.69","67.12","-151.52","-151.78","-151.34","-151.08","-180.0","9.36","17.63","-63.25","-151.25","-152.13","-150.73","-151.25","-180.0"
