"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"-48.68","-0.48","1.1","-0.22","7.78","-1.01","1.01","1.8","-7.25","4.0","0.0","-46.99","76.79","-151.52","-151.78","-151.34","-151.08","-180.0","10.95","14.99","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
"-48.18","-0.48","1.1","-0.22","7.78","-1.01","1.01","1.8","-7.25","4.0","0.0","-46.99","76.79","-151.52","-151.78","-151.34","-151.08","-180.0","10.95","14.99","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
"-48.38","-0.48","1.1","-0.22","7.78","-1.01","1.01","1.8","-7.25","4.0","0.0","-46.99","76.79","-151.52","-151.78","-151.34","-151.08","-180.0","10.95","14.99","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
"-48.18","-0.48","1.1","-0.22","7.78","-1.01","1.01","1.8","-7.25","4.0","0.0","-46.99","76.79","-151.52","-151.78","-151.34","-151.08","-180.0","10.95","14.99","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.48","5.23","1.1","-0.04","7.78","-1.01","1.01","1.8","-7.43","4.0","0.0","-46.99","76.79","-151.52","-151.78","-151.34","-151.08","-180.0","10.95","14.99","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
