"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"-2.33","0.13","-16.75","9.8","19.38","96.84","17.36","-2.24","-9.01","-88.13","80.47","-46.99","86.37","-151.52","-151.78","-151.34","-151.08","-180.0","-86.37","16.31","-56.84","-151.25","-152.13","-150.73","-151.25","-180.0"
"-2.33","0.92","-11.47","11.3","27.21","97.8","24.04","-14.37","-18.33","-74.95","80.34","-45.85","87.52","-151.52","-151.78","-151.34","-151.08","-180.0","-90.42","16.31","-56.84","-151.25","-152.13","-150.73","-151.25","-180.0"
"-2.59","4.35","6.55","-6.81","7.87","10.86","-0.92","0.04","-8.13","3.3","-6.0","-46.99","80.4","-151.52","-151.78","-151.34","-151.08","-180.0","6.9","14.99","-51.47","-151.25","-152.13","-150.73","-151.25","-180.0"
