"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"-1.8","-1.01","-0.84","-3.91","4.26","8.13","8.22","2.51","-6.73","-6.99","-5.58","-58.77","119.96","-150.99","-152.31","-150.9","-150.73","-180.0","-8.4","150.73","-24.04","-150.73","-152.57","-151.08","-151.25","-180.0"
"-1.8","-1.01","-27.21","-7.52","82.24","131.3","8.31","2.51","-6.73","-6.99","-5.58","-58.77","119.96","-150.99","-152.31","-150.9","-150.73","-180.0","-106.95","150.73","-24.04","-150.73","-152.57","-151.08","-151.25","-180.0"
"-1.8","-1.01","-3.3","-3.91","6.55","2.95","8.22","2.51","-6.64","-6.99","-5.58","-58.77","119.96","-150.99","-152.31","-150.9","-150.73","-180.0","-3.3","150.73","-24.04","-150.73","-152.57","-151.08","-151.25","-180.0"
