"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"1.1","7.78","-0.57","14.29","8.75","8.66","0.92","9.1","-9.54","-3.38","48.75","18.51","-61.23","-151.08","-151.78","-150.81","-151.08","-180.0","8.13","-57.01","95.34","-151.25","-152.13","-151.34","-150.64","-180.0"
"1.1","7.78","-58.77","15.69","97.27","17.63","0.92","9.1","-9.54","-3.38","48.75","18.51","-61.23","-151.08","-151.78","-150.81","-151.08","-180.0","-34.68","-57.01","96.4","-151.25","-152.13","-151.34","-150.64","-180.0"
"1.1","14.11","-57.45","14.55","-0.4","53.05","37.41","18.42","-35.3","-80.04","52.26","18.51","-62.46","-151.08","-151.78","-150.81","-151.08","-180.0","21.93","-57.01","102.81","-151.25","-152.13","-151.34","-150.64","-180.0"
"1.1","14.11","-8.04","14.02","7.52","3.91","-6.81","16.4","-9.89","-14.73","55.25","18.51","-62.46","-151.08","-151.78","-150.81","-151.08","-180.0","23.96","-57.01","95.34","-151.25","-152.13","-151.34","-150.64","-180.0"
